Date,Mkt-RF,SMB,HML,RMW,CMA,RF
04/01/2016,-1.59,-0.76,0.52,0.35,0.42,0
05/01/2016,0.12,-0.24,0.01,0.05,0.31,0
06/01/2016,-1.35,-0.23,0,0.15,0.04,0
07/01/2016,-2.44,-0.29,0.08,0.49,0.36,0
08/01/2016,-1.11,-0.52,-0.03,0.25,0.05,0
11/01/2016,-0.06,-0.61,0.4,0.65,0.34,0
12/01/2016,0.72,-0.48,-0.77,-0.1,-0.39,0
13/01/2016,-2.67,-0.62,0.81,0.4,0.63,0
14/01/2016,1.65,-0.05,-0.4,-0.58,-0.43,0
15/01/2016,-2.14,0.4,-0.24,0.37,0.45,0
19/01/2016,-0.19,-1.38,-0.06,0.34,0.22,0
20/01/2016,-0.94,1.73,-1.27,0.08,-0.52,0
21/01/2016,0.45,-0.49,-0.02,0.49,0.64,0
22/01/2016,2.08,0.13,-0.2,-0.52,-0.64,0
25/01/2016,-1.71,-0.53,-0.99,0.33,-0.01,0
26/01/2016,1.52,0.62,1.18,0.66,0.63,0
27/01/2016,-1.11,-0.42,1.71,-0.13,0.92,0
28/01/2016,0.49,-0.55,1.26,-0.3,-0.44,0
29/01/2016,2.57,0.6,0.43,0.01,0.41,0
01/02/2016,-0.04,-0.3,-1,0.06,-0.35,0.001
02/02/2016,-2,-0.15,-0.37,0.28,0.4,0.001
03/02/2016,0.46,-0.25,0.47,0.41,0.32,0.001
04/02/2016,0.27,0.3,0.35,0.24,0,0.001
05/02/2016,-2.06,-0.74,1.64,1.06,1.19,0.001
08/02/2016,-1.51,0.13,0.83,1.69,0.87,0.001
09/02/2016,-0.09,-0.55,-0.28,-0.01,0.06,0.001
10/02/2016,0.01,-0.21,-0.55,-0.3,-0.69,0.001
11/02/2016,-1.17,0.3,-1.48,0.37,-0.26,0.001
12/02/2016,1.99,-0.27,1.1,-0.4,0.19,0.001
16/02/2016,1.78,0.52,-0.53,-0.01,-0.25,0.001
17/02/2016,1.75,-0.13,-0.65,-0.43,-0.37,0.001
18/02/2016,-0.51,-0.03,0.22,0.41,0.48,0.001
19/02/2016,0.06,0.27,-0.58,-0.65,-0.39,0.001
22/02/2016,1.43,-0.18,0.26,0.25,-0.26,0.001
23/02/2016,-1.22,0.36,-0.51,0.74,0.51,0.001
24/02/2016,0.53,0.66,-0.3,-0.04,0.16,0.001
25/02/2016,1.1,-0.44,0.23,-0.07,-0.24,0.001
26/02/2016,-0.01,0.86,0.29,-0.56,-0.04,0.001
29/02/2016,-0.69,0.72,0.25,0.13,0.53,0.001
01/03/2016,2.34,-0.65,0.39,-0.58,-0.61,0.001
02/03/2016,0.54,0.6,0.68,-0.7,-0.07,0.001
03/03/2016,0.5,0.57,0.66,0.28,0.32,0.001
04/03/2016,0.37,0.33,0.29,0.1,0.07,0.001
07/03/2016,0.21,1.3,0.55,-0.49,0.42,0.001
08/03/2016,-1.27,-1.28,-0.48,0.67,0.15,0.001
09/03/2016,0.5,0.1,0.41,0.22,0.18,0.001
10/03/2016,-0.11,-0.77,0.62,0.32,0.2,0.001
11/03/2016,1.69,0.31,0.23,-0.41,-0.43,0.001
14/03/2016,-0.12,-0.15,-0.9,-0.03,-0.19,0.001
15/03/2016,-0.36,-1.47,0.69,0.46,0.02,0.001
16/03/2016,0.63,0.12,-0.1,0.59,-0.03,0.001
17/03/2016,0.72,0.96,0.59,0.11,0.62,0.001
